Date, Open, High, Low, Close, Volume
10/02/20, 6800.00, 6800.00, 6600.01, 6690.01, 80
10/01/20, 6700.00, 6700.00, 6700.00, 6700.00, 180
09/30/20, 6700.00, 6700.00, 6600.00, 6600.00, 120
09/29/20, 6799.99, 6799.99, 6700.00, 6700.00, 40
09/25/20, 6790.00, 6790.00, 6790.00, 6790.00, 280
09/24/20, 6800.03, 6800.03, 6611.25, 6611.25, 280
09/23/20, 6781.01, 6890.00, 6781.00, 6890.00, 140
09/22/20, 6920.00, 6920.00, 6920.00, 6920.00, 880
09/21/20, 6925.00, 6950.00, 6900.00, 6900.00, 100
09/18/20, 6781.00, 7000.00, 6781.00, 6993.33, 1020
09/17/20, 7000.00, 7000.00, 6881.01, 6881.01, 340
09/15/20, 6898.03, 7010.00, 6898.03, 7000.00, 1120
09/14/20, 6660.00, 6900.00, 6660.00, 6787.00, 220
09/11/20, 6650.01, 6650.01, 6650.01, 6650.01, 20
09/10/20, 6700.00, 6997.00, 6650.00, 6976.00, 560
09/09/20, 6499.99, 6595.00, 6499.99, 6582.00, 960
09/08/20, 6500.00, 6547.99, 6400.00, 6498.30, 1920
09/07/20, 6300.00, 6499.00, 6300.00, 6499.00, 620
09/04/20, 6300.00, 6380.00, 6250.00, 6310.00, 380
09/03/20, 6440.00, 6455.00, 6375.00, 6375.00, 680
09/02/20, 6200.00, 6400.00, 6200.00, 6310.00, 480
09/01/20, 6000.00, 6159.00, 6000.00, 6144.50, 640
08/31/20, 6050.00, 6072.00, 6010.05, 6068.33, 580
08/28/20, 6070.00, 6070.00, 6000.00, 6000.00, 440
08/27/20, 6149.99, 6150.00, 6070.00, 6070.00, 280
08/26/20, 6215.00, 6215.00, 6000.00, 6006.00, 2160
08/25/20, 6198.99, 6290.00, 6198.99, 6226.67, 280
08/24/20, 6050.00, 6289.99, 6050.00, 6100.00, 120
08/21/20, 6161.00, 6400.00, 6150.00, 6150.01, 100
08/20/20, 6200.00, 6250.00, 6190.00, 6210.00, 200
08/19/20, 6350.00, 6350.00, 6290.00, 6290.00, 360
08/18/20, 6300.00, 6396.00, 6300.00, 6310.00, 300
08/13/20, 6300.00, 6300.00, 6299.94, 6300.00, 100
08/12/20, 6464.99, 6464.99, 6300.00, 6307.20, 460
08/11/20, 6500.00, 6500.00, 6301.00, 6302.75, 160
08/10/20, 6500.00, 6500.00, 6290.00, 6343.15, 180
08/07/20, 6500.00, 6500.00, 6400.00, 6443.33, 340
08/06/20, 6550.00, 6550.00, 6400.00, 6425.00, 160
08/05/20, 6560.00, 6560.00, 6400.00, 6410.00, 220
08/04/20, 6500.00, 6520.00, 6450.00, 6450.00, 700
08/03/20, 6490.00, 6600.00, 6490.00, 6490.00, 780
07/30/20, 6500.00, 6500.01, 6450.00, 6466.67, 460
07/29/20, 6600.00, 6697.99, 6499.99, 6500.00, 480
07/28/20, 6700.01, 6771.03, 6500.00, 6577.12, 340
07/23/20, 6900.00, 6900.00, 6700.00, 6718.33, 120
07/21/20, 6845.00, 6845.00, 6800.00, 6800.00, 140
07/20/20, 6755.00, 6755.00, 6750.00, 6750.00, 40
07/16/20, 6800.00, 6900.00, 6800.00, 6900.00, 80
07/15/20, 6800.00, 6800.00, 6750.00, 6800.00, 80
07/14/20, 6800.00, 6800.00, 6800.00, 6800.00, 20
07/13/20, 6700.00, 6800.00, 6700.00, 6800.00, 100
07/09/20, 6850.00, 6895.00, 6800.00, 6800.84, 260
07/08/20, 6871.00, 6874.00, 6600.26, 6700.00, 100
07/07/20, 6500.00, 6800.00, 6500.00, 6750.00, 440
07/06/20, 6845.00, 6845.00, 6750.00, 6845.00, 40
07/02/20, 6890.00, 6890.00, 6890.00, 6890.00, 20
07/01/20, 6500.00, 6735.00, 6500.00, 6696.25, 120
06/30/20, 6500.00, 6735.00, 6400.00, 6735.00, 100
06/25/20, 6565.00, 6565.00, 6500.00, 6500.00, 60
06/24/20, 6475.00, 6850.00, 6475.00, 6850.00, 180
06/23/20, 6450.00, 6450.00, 6450.00, 6450.00, 60
06/22/20, 6400.00, 6450.00, 6201.00, 6448.26, 240
06/18/20, 6500.00, 6500.00, 6500.00, 6500.00, 20
06/17/20, 6500.00, 6547.99, 6450.00, 6500.00, 4120
06/16/20, 6400.00, 6401.00, 6400.00, 6401.00, 60
06/12/20, 6500.00, 6600.00, 6455.05, 6535.00, 280
06/11/20, 6630.00, 6630.00, 6405.00, 6475.00, 2420
06/10/20, 6650.00, 6650.00, 6650.00, 6650.00, 40
06/09/20, 6690.00, 6690.00, 6690.00, 6690.00, 20
06/08/20, 6600.00, 6600.00, 6580.00, 6580.00, 100
06/04/20, 6600.00, 6600.00, 6600.00, 6600.00, 20
06/03/20, 6800.00, 6800.00, 6800.00, 6800.00, 100
06/02/20, 6753.33, 6999.00, 6999.00, 6753.33, 20
06/01/20, 6800.01, 6800.01, 6750.00, 6753.33, 140
05/29/20, 6752.03, 6999.99, 6752.03, 6873.33, 80
05/28/20, 7130.00, 6600.00, 6600.00, 7130.00, 20
05/21/20, 7500.00, 7500.00, 7020.00, 7130.00, 100
05/19/20, 7195.00, 7195.00, 6950.00, 7050.00, 260
05/18/20, 6790.00, 6999.99, 6790.00, 6933.75, 460
05/15/20, 6490.00, 6775.00, 6465.00, 6690.00, 240
05/14/20, 6210.00, 6350.00, 6210.00, 6347.50, 180
05/13/20, 6100.00, 6100.00, 6060.00, 6087.29, 160
05/08/20, 5850.00, 6160.00, 5850.00, 6100.00, 2400
05/07/20, 5900.00, 5900.00, 5800.00, 5837.50, 320
05/06/20, 5800.00, 5995.00, 5800.00, 5915.11, 1260
05/05/20, 5700.00, 5850.00, 5700.00, 5829.13, 760
05/04/20, 5650.00, 5750.00, 5650.00, 5700.00, 560
04/30/20, 5700.00, 5800.00, 5680.00, 5700.00, 1180
04/29/20, 5700.00, 5700.00, 5680.00, 5699.67, 140
04/28/20, 5700.00, 5780.00, 5700.00, 5780.00, 40
04/27/20, 5500.00, 5548.00, 5380.01, 5548.00, 140
04/23/20, 5658.00, 5680.00, 5658.00, 5680.00, 60
04/22/20, 5650.00, 5650.00, 5600.80, 5629.30, 760
04/21/20, 5800.00, 5800.00, 5600.00, 5613.24, 380
04/20/20, 5600.00, 5749.00, 5575.00, 5699.88, 2080
04/17/20, 5700.00, 5790.00, 5500.00, 5620.00, 1360
04/16/20, 5550.00, 5640.00, 5550.00, 5600.00, 320
04/15/20, 5451.00, 5809.00, 5451.00, 5560.02, 820
04/14/20, 5810.00, 6025.00, 5800.00, 5810.00, 380
04/13/20, 6590.00, 6590.00, 6100.00, 6163.50, 140
04/08/20, 6590.00, 6590.00, 6590.00, 6590.00, 20
04/02/20, 6590.00, 6590.00, 6590.00, 6590.00, 20
04/01/20, 6700.00, 6700.00, 6600.00, 6600.00, 140
03/31/20, 6700.00, 6700.00, 6700.00, 6700.00, 20
03/19/20, 6700.00, 6700.00, 6700.00, 6700.00, 20
03/16/20, 7203.50, 7203.50, 7203.50, 7203.50, 20
03/09/20, 7550.01, 7550.01, 7200.00, 7203.50, 100
03/06/20, 7700.00, 7700.00, 7700.00, 7700.00, 20
03/05/20, 7554.55, 7600.00, 7554.55, 7600.00, 2460
02/27/20, 7940.00, 7940.00, 7500.00, 7554.55, 300
02/25/20, 7300.00, 7800.00, 7300.00, 7800.00, 160
02/24/20, 7800.00, 7800.00, 7800.00, 7800.00, 5000
02/13/20, 7425.00, 7425.00, 7425.00, 7425.00, 20
02/12/20, 7400.00, 7400.00, 7400.00, 7400.00, 20
02/10/20, 7473.00, 7473.00, 7473.00, 7473.00, 5800
02/07/20, 7950.00, 7473.00, 7473.00, 7950.00, 1440
01/28/20, 7560.16, 7988.98, 7560.16, 7988.98, 40
01/23/20, 8000.00, 8000.00, 7980.00, 8000.00, 520
01/14/20, 8000.00, 8000.00, 8000.00, 8000.00, 100
01/13/20, 7990.00, 8100.00, 7990.00, 8075.00, 1460
01/08/20, 8010.00, 8020.00, 7950.00, 8001.00, 660
01/07/20, 8000.00, 8099.90, 8000.00, 8000.00, 660
01/03/20, 7840.20, 8274.00, 7840.00, 8175.00, 80
01/02/20, 8100.00, 8250.00, 8100.00, 8250.00, 40
12/31/19, 7852.00, 8200.00, 7750.00, 8050.00, 320
12/30/19, 8299.99, 8300.00, 8100.00, 8100.00, 60
12/26/19, 7980.00, 8000.00, 7949.00, 7983.50, 120
12/24/19, 7580.01, 7998.99, 7580.01, 7998.99, 40
12/23/19, 7750.00, 7999.99, 7750.00, 7975.00, 60
12/20/19, 7800.00, 7800.00, 7800.00, 7800.00, 40
12/19/19, 7481.50, 7481.50, 7475.02, 7475.02, 60
12/18/19, 7815.01, 8125.00, 7790.00, 7860.00, 240
12/17/19, 8800.00, 8800.00, 8056.00, 8200.00, 340
12/16/19, 8480.00, 8480.00, 8480.00, 8480.00, 40
12/13/19, 8100.00, 8100.00, 8100.00, 8100.00, 120
12/12/19, 8300.00, 8300.00, 7725.00, 8080.00, 120
12/11/19, 8386.99, 8386.99, 7950.00, 7950.00, 180
12/10/19, 7986.00, 7987.61, 7986.00, 7987.61, 140
12/09/19, 7400.00, 7607.25, 7400.00, 7607.25, 320
12/06/19, 7000.00, 7245.00, 7000.00, 7245.00, 280
12/05/19, 6900.00, 6900.00, 6900.00, 6900.00, 20
12/04/19, 7130.00, 7130.00, 6601.01, 6750.00, 100
12/03/19, 6498.00, 6814.50, 6498.00, 6814.50, 1440
